Lon,Lat,ID,Source,Calcite,U238,U238sig,Age,U234delta,Basin,Genus,Place,Location,Site,LabID,Temp,Salinity,pH,TAlk,TCO2,OmegaA,oxygen
-74.535799,24.053007,25,1,18,2.81662,NA,53.9913530390348,130.087610364419,Atlantic,Diploria,"Bahamas,San Salvador Island",Bahamas,San Salvador Island,1,26.497584345800373,36.38361574139465,8.097573411232638,2376.5080533763085,2018.494289676255,3.8897083201681357,202.32990492051135
-74.535799,24.053007,51,1,1,NA,NA,0.00618504328238188,142.961681237951,Atlantic,Montastraea,"Bahamas,San Salvador",Bahamas,San Salvador,1,26.497584345800373,36.38361574139465,8.097573411232638,2376.5080533763085,2018.494289676255,3.8897083201681357,202.32990492051135
-74.535799,24.053007,52,1,1,NA,NA,0.00716282027387714,138.781161582145,Atlantic,Acropora,"Bahamas,San Salvador",Bahamas,San Salvador,1,26.497584345800373,36.38361574139465,8.097573411232638,2376.5080533763085,2018.494289676255,3.8897083201681357,202.32990492051135
-59.63881,13.166954,100,3,0,3.208,0.003,0.133244527945983,143.411276857177,Atlantic,Acropora,"Barbados,Holders Hill transect",Barbados,Holders Hill transect,3,27.48525337061174,34.86461857426364,8.114590268096046,2302.5639762453093,1953.5051162854231,3.871317369218241,201.90426280985517
147.856817,-6.606386,166,6,0,3.355,0.003,12.4760752749011,144.631850365143,Pacific,Acropora,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.71402363196021,34.41266829350393,8.109599186749094,2278.8822402882893,1934.7088209411984,3.79776744031101,203.78232617744175
147.856817,-6.606386,167,6,0,2.39,0.003,12.6628067011291,145.225519656594,Pacific,Acropora,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.71402363196021,34.41266829350393,8.109599186749094,2278.8822402882893,1934.7088209411984,3.79776744031101,203.78232617744175
147.668573,-6.176624,168,6,1,2.424,0.003,25.1012839478137,146.198125702994,Pacific,Porites,"Papua New Guinea,Huon Peninsula, Papua New Guinea",Papua New Guinea,"Huon Peninsula, Papua New Guinea",3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.668573,-6.176624,169,6,1,2.219,0.003,25.4436133227535,142.578876018747,Pacific,Porites,"Papua New Guinea,Huon Peninsula, Papua New Guinea",Papua New Guinea,"Huon Peninsula, Papua New Guinea",3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.668573,-6.176624,170,6,0,2.84,0.003,14.6347960524355,143.954696743123,Pacific,Acropora,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.668573,-6.176624,171,6,0,3.475,0.004,23.6354663596469,138.264882279718,Pacific,Acropora,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.668573,-6.176624,172,6,0,3.278,0.003,23.6782193535663,139.562612657524,Pacific,Acropora,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.668573,-6.176624,173,6,0,3.275,0.003,23.7117782137242,138.08113406811,Pacific,Acropora,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.624576,-6.107493,179,6,1,3.479,0.006,28.6477142129652,145.431104740749,Pacific,NA,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.69765136447594,34.38758016829801,8.111541398911825,2275.4351859902936,1933.4207264437891,3.807070650547235,203.9052337201754
147.624576,-6.107493,180,6,1,3.146,0.004,28.7351980450348,137.778539434651,Pacific,NA,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.69765136447594,34.38758016829801,8.111541398911825,2275.4351859902936,1933.4207264437891,3.807070650547235,203.9052337201754
147.624576,-6.107493,181,6,0,3.462,0.004,28.3903337510233,140.67363799284,Pacific,Porites,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.69765136447594,34.38758016829801,8.111541398911825,2275.4351859902936,1933.4207264437891,3.807070650547235,203.9052337201754
147.668573,-6.176624,182,6,0,2.99,0.003,36.8574953189518,139.311175406903,Pacific,Porites,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.668573,-6.176624,183,6,0,2.527,0.013,36.8912501505218,137.662300041656,Pacific,Porites,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.688778848380572,34.407442896544325,8.111581596500672,2275.670677456736,1933.4983293786888,3.8077497097596216,203.88100931972218
147.675305,-6.213501,184,6,0,2.321,0.003,48.6789774870285,137.049149177882,Pacific,Favia,"Papua New Guinea,Huon Peninsula",Papua New Guinea,Huon Peninsula,3,28.691033286008242,34.40789909669442,8.111589582380018,2275.7633528509823,1933.5309513351124,3.8079584925918213,203.87217751263788
