"","U238","pH","TAlk","Salinity","Temperature","OmegaA","TCO2"
"1",1.350568,8.11459026809605,2302.56397624531,34.8646185742636,27.4852533706117,3.87131736921824,1953.50511628542
"2",1.36404,8.11481653143615,2303.23648242157,34.8819050199682,27.50767889377,3.873370572961,1953.53467522964
"3",1.34299,8.11481653143615,2303.23648242157,34.8819050199682,27.50767889377,3.873370572961,1953.53467522964
"4",1.11565,8.11481653143615,2303.23648242157,34.8819050199682,27.50767889377,3.873370572961,1953.53467522964
"5",1.39351,8.11481653143615,2303.23648242157,34.8819050199682,27.50767889377,3.873370572961,1953.53467522964
"6",1.33036,8.11481653143615,2303.23648242157,34.8819050199682,27.50767889377,3.873370572961,1953.53467522964
"7",1.867135,8.1116262038462,2389.53566953081,36.1154386034579,25.675743351656,3.99443837707799,2028.83098376398
"8",1.639374,8.1116262038462,2389.53566953081,36.1154386034579,25.675743351656,3.99443837707799,2028.83098376398
"9",1.6274176,8.1116262038462,2389.53566953081,36.1154386034579,25.675743351656,3.99443837707799,2028.83098376398
"10",1.554332,8.09278363765949,2329.45278102003,35.5052716101704,22.0442776056141,3.70267558251421,2001.27945522214
"11",1.38088,8.13428768782579,2365.06007655534,35.9609545026382,27.4407924967194,4.18292363378013,1993.85187395313
"12",1.39772,8.13428768782579,2365.06007655534,35.9609545026382,27.4407924967194,4.18292363378013,1993.85187395313
"13",1.44403,8.13428768782579,2365.06007655534,35.9609545026382,27.4407924967194,4.18292363378013,1993.85187395313
"14",1.4314,8.13428768782579,2365.06007655534,35.9609545026382,27.4407924967194,4.18292363378013,1993.85187395313
"15",1.43982,8.13428768782579,2365.06007655534,35.9609545026382,27.4407924967194,4.18292363378013,1993.85187395313
"16",1.39351,8.13428768782579,2365.06007655534,35.9609545026382,27.4407924967194,4.18292363378013,1993.85187395313
"17",1.3500207,8.11481423964717,2303.23143311984,34.8820028810969,27.50781552422,3.87335045255946,1953.53325898932
"18",1.2114275,8.11481423964717,2303.23143311984,34.8820028810969,27.50781552422,3.87335045255946,1953.53325898932
"19",1.4159914,8.11481423964717,2303.23143311984,34.8820028810969,27.50781552422,3.87335045255946,1953.53325898932
"20",1.2915438,8.11481423964717,2303.23143311984,34.8820028810969,27.50781552422,3.87335045255946,1953.53325898932
"21",1.116913,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"22",1.197745,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"23",1.420033,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"24",1.114387,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"25",1.120281,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"26",1.139647,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"27",1.015031,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"28",0.969142,8.11154828274027,2275.47054906373,34.3875074227178,28.6975384083012,3.80717894683927,1933.43215460203
"29",1.46508,8.092860928535,2329.38697169585,35.5057844210636,22.0454204515679,3.70309940833919,2001.1899107091
"30",1.55349,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"31",1.545491,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"32",1.7261,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"33",1.65032,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"34",1.5998,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"35",1.684,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"36",1.687368,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"37",1.686105,8.09279393415534,2329.38360434749,35.5059916431972,22.037915207992,3.70270828101079,2001.24906793595
"38",1.7682,8.11283429873095,2306.67945402652,35.356962369506,24.5018290992913,3.80034922161619,1959.35335777018
"39",1.65453,8.11283429873095,2306.67945402652,35.356962369506,24.5018290992913,3.80034922161619,1959.35335777018
"40",1.44824,8.11283429873095,2306.67945402652,35.356962369506,24.5018290992913,3.80034922161619,1959.35335777018
"41",1.49876,8.11283429873095,2306.67945402652,35.356962369506,24.5018290992913,3.80034922161619,1959.35335777018
"42",1.48613,8.11283429873095,2306.67945402652,35.356962369506,24.5018290992913,3.80034922161619,1959.35335777018
"43",0.987666,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
"44",1.013768,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
"45",0.948934,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
"46",0.788112,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
"47",1.013347,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
"48",1.001138,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
"49",1.174169,8.00381728430338,2226.41388314212,33.0186881025595,24.2225504843279,2.86724650672417,1969.53699298949
